,Away_Behinds,Away_Goals,Away_Team,Away_Total,Crowd,Date,Day,Home_Behinds,Home_Goals,Home_Team,Home_Total,Match_Link,Month,Round,Structured_Data,Time,Venue,Year,City,station_ID,URL,Rain
0,13 ,5,Richmond,43,78253,7,No Day Data Provided,11 ,17,Essendon,113,no match report,September,Qualifying Finals,2001-09-07 19:45:00,7:45 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
1,8 ,8,Port Adelaide,56,32380,8,No Day Data Provided,16 ,12,Brisbane Lions,88,no match report,September,Qualifying Finals,2001-09-08 19:40:00,7:40 pm,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0.2
2,14 ,6,Adelaide,50,53982,8,No Day Data Provided,16 ,17,Carlton,118,no match report,September,Elimination Finals,2001-09-08 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.4
3,8 ,11,Sydney,74,32910,9,No Day Data Provided,15 ,19,Hawthorn,129,no match report,September,Elimination Finals,2001-09-09 14:30:00,2:30 pm,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,5.8
4,14 ,7,Carlton,56,83323,15,No Day Data Provided,7 ,10,Richmond,67,no match report,September,Semi Finals,2001-09-15 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
5,12 ,10,Hawthorn,72,30613,15,No Day Data Provided,9 ,10,Port Adelaide,69,no match report,September,Semi Finals,2001-09-15 19:15:00,7:15 pm,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
6,13 ,9,Hawthorn,67,86468,22,No Day Data Provided,10 ,11,Essendon,76,no match report,September,Preliminary Finals,2001-09-22 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
7,8 ,10,Richmond,68,37032,22,No Day Data Provided,16 ,20,Brisbane Lions,136,no match report,September,Preliminary Finals,2001-09-22 19:45:00,7:45 pm,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0
8,18,15,Brisbane Lions,108,91482,29,No Day Data Provided,10,12,Essendon,82,no match report,September,Grand Final,2001-09-29 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
9,8,23,Essendon,146,"56,028",30,Friday,7,9,Kangaroos,61,No Match Report,March,Not Defined,2001-03-30 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
10,15,11,Collingwood,81,"52,190",31,Saturday,7,13,Hawthorn,85,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
11,11,18,Carlton,119,"23,716",31,Saturday,10,18,Fremantle,118,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
12,16,16,St Kilda,112,"30,047",31,Saturday,11,16,Western Bulldogs,107,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
13,9,14,Brisbane Lions,93,"25,948",31,Saturday,15,14,Port Adelaide,99,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
14,7,7,West Coast,49,"20,149",1,Sunday,13,17,Geelong,115,No Match Report,April,Not Defined,2001-04-01 00:00:00,No time provided,Simonds Stadium,2001,Geelong,1519479636&p_stn_num=087162,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1519479636&p_stn_num=087162,0.2
15,14,20,Richmond,134,"44,466",1,Sunday,13,15,Melbourne,103,No Match Report,April,Not Defined,2001-04-01 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
16,14,10,Adelaide,74,"31,174",1,Sunday,12,19,Sydney,126,No Match Report,April,Not Defined,2001-04-01 00:00:00,No time provided,SCG,2001,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-872874356&p_stn_num=066062,0
17,11,16,Port Adelaide,107,"34,918",6,Friday,7,23,Essendon,145,No Match Report,April,Not Defined,2001-04-06 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
18,11,16,Hawthorn,107,"27,597",7,Saturday,15,11,Carlton,81,No Match Report,April,Not Defined,2001-04-07 00:00:00,No time provided,Optus Oval,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
19,9,17,Western Bulldogs,111,"36,427",7,Saturday,15,9,Richmond,69,No Match Report,April,Not Defined,2001-04-07 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
20,10,13,Fremantle,88,"26,067",7,Saturday,15,15,Collingwood,105,No Match Report,April,Not Defined,2001-04-07 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
21,11,12,Melbourne,83,"35,653",7,Saturday,14,11,Adelaide,80,No Match Report,April,Not Defined,2001-04-07 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
22,10,8,Kangaroos,58,"22,970",8,Sunday,16,17,Brisbane Lions,118,No Match Report,April,Not Defined,2001-04-08 00:00:00,No time provided,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0.4
23,13,17,Geelong,115,"33,867",8,Sunday,8,13,St Kilda,86,No Match Report,April,Not Defined,2001-04-08 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
24,14,15,Sydney,104,"32,673",8,Sunday,11,13,West Coast,89,No Match Report,April,Not Defined,2001-04-08 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
25,10,11,Essendon,76,"63,088",12,Thursday,9,14,Carlton,93,No Match Report,April,Not Defined,2001-04-12 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,3.4
26,10,14,Brisbane Lions,94,"31,688",14,Saturday,14,17,Richmond,116,No Match Report,April,Not Defined,2001-04-14 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
27,15,23,Collingwood,153,"37,598",14,Saturday,9,12,Western Bulldogs,81,No Match Report,April,Not Defined,2001-04-14 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
28,13,23,Sydney,151,"22,395",14,Saturday,5,11,Kangaroos,71,No Match Report,April,Not Defined,2001-04-14 00:00:00,No time provided,SCG,2001,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-872874356&p_stn_num=066062,0
29,15,23,Port Adelaide,153,"40,296",15,Sunday,10,13,Adelaide,88,No Match Report,April,Not Defined,2001-04-15 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
30,11,19,West Coast,125,"19,496",15,Sunday,11,16,St Kilda,107,No Match Report,April,Not Defined,2001-04-15 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
31,16,11,Hawthorn,82,"20,703",15,Sunday,11,8,Fremantle,59,No Match Report,April,Not Defined,2001-04-15 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
32,14,15,Geelong,104,"48,551",16,Monday,16,18,Melbourne,124,No Match Report,April,Not Defined,2001-04-16 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
33,8,13,Richmond,86,"78,638",20,Friday,11,10,Collingwood,71,No Match Report,April,Not Defined,2001-04-20 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
34,12,15,Essendon,102,"40,131",20,Friday,19,6,Sydney,55,No Match Report,April,Not Defined,2001-04-20 00:00:00,No time provided,SCG,2001,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-872874356&p_stn_num=066062,0.2
35,8,9,Adelaide,62,"21,110",21,Saturday,5,8,Carlton,53,No Match Report,April,Not Defined,2001-04-21 00:00:00,No time provided,Optus Oval,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
36,15,12,Brisbane Lions,87,"20,322",21,Saturday,14,21,Western Bulldogs,140,No Match Report,April,Not Defined,2001-04-21 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
37,16,16,West Coast,112,"38,804",21,Saturday,10,13,Fremantle,88,No Match Report,April,Not Defined,2001-04-21 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
38,8,7,St Kilda,50,"27,017",21,Saturday,12,17,Port Adelaide,114,No Match Report,April,Not Defined,2001-04-21 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
39,11,7,Kangaroos,53,"14,298",22,Sunday,9,4,Geelong,33,No Match Report,April,Not Defined,2001-04-22 00:00:00,No time provided,Simonds Stadium,2001,Geelong,1519479636&p_stn_num=087162,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1519479636&p_stn_num=087162,66.4
40,14,5,Melbourne,44,"30,113",22,Sunday,17,11,Hawthorn,83,No Match Report,April,Not Defined,2001-04-22 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,28.0
41,11,14,Collingwood,95,"83,905",25,Wednesday,13,15,Essendon,103,No Match Report,April,Not Defined,2001-04-25 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,7.6
42,7,17,Richmond,109,"38,424",27,Friday,4,11,West Coast,70,No Match Report,April,Not Defined,2001-04-27 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
43,8,14,St Kilda,92,"24,385",28,Saturday,23,17,Carlton,125,No Match Report,April,Not Defined,2001-04-28 00:00:00,No time provided,Optus Oval,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
44,11,24,Hawthorn,155,"34,400",28,Saturday,12,19,Western Bulldogs,126,No Match Report,April,Not Defined,2001-04-28 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,
45,15,10,Kangaroos,75,"37,596",28,Saturday,18,12,Adelaide,90,No Match Report,April,Not Defined,2001-04-28 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
46,8,19,Fremantle,122,"20,059",29,Sunday,21,25,Brisbane Lions,171,No Match Report,April,Not Defined,2001-04-29 00:00:00,No time provided,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0.6
47,10,23,Port Adelaide,148,"18,736",29,Sunday,12,15,Geelong,102,No Match Report,April,Not Defined,2001-04-29 00:00:00,No time provided,Simonds Stadium,2001,Geelong,1519479636&p_stn_num=087162,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1519479636&p_stn_num=087162,0
48,14,15,Sydney,104,"31,168",29,Sunday,11,18,Melbourne,119,No Match Report,April,Not Defined,2001-04-29 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
49,15,19,Richmond,129,"39,773",4,Friday,6,12,Kangaroos,78,No Match Report,May,Not Defined,2001-05-04 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
50,10,14,Sydney,94,"28,933",5,Saturday,12,18,St Kilda,120,No Match Report,May,Not Defined,2001-05-05 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
51,11,18,Melbourne,119,"19,775",5,Saturday,20,9,Fremantle,74,No Match Report,May,Not Defined,2001-05-05 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
52,8,13,Western Bulldogs,86,"30,197",5,Saturday,9,20,Port Adelaide,129,No Match Report,May,Not Defined,2001-05-05 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
53,13,8,Geelong,61,"25,881",5,Saturday,14,17,Brisbane Lions,116,No Match Report,May,Not Defined,2001-05-05 00:00:00,No time provided,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0
54,11,14,Carlton,95,"73,572",6,Sunday,13,15,Collingwood,103,No Match Report,May,Not Defined,2001-05-06 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
55,10,10,West Coast,70,"33,829",6,Sunday,14,24,Essendon,158,No Match Report,May,Not Defined,2001-05-06 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
56,19,12,Adelaide,91,"17,460",6,Sunday,8,16,Hawthorn,104,No Match Report,May,Not Defined,2001-05-06 00:00:00,No time provided,University of Tasmania Stadium,2001,Launceston,1664874821&p_stn_num=091237,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1664874821&p_stn_num=091237,0
57,17,15,Western Bulldogs,107,"32,299",11,Friday,5,12,Melbourne,77,No Match Report,May,Not Defined,2001-05-11 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
58,24,16,Essendon,120,"77,576",12,Saturday,14,10,Richmond,74,No Match Report,May,Not Defined,2001-05-12 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
59,14,16,Hawthorn,110,"37,940",12,Saturday,9,15,St Kilda,99,No Match Report,May,Not Defined,2001-05-12 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
60,11,12,Fremantle,83,"38,292",12,Saturday,19,14,Adelaide,103,No Match Report,May,Not Defined,2001-05-12 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
61,9,15,Kangaroos,99,"34,600",13,Sunday,13,14,Collingwood,97,No Match Report,May,Not Defined,2001-05-13 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
62,6,17,Carlton,108,"29,150",13,Sunday,14,9,Geelong,68,No Match Report,May,Not Defined,2001-05-13 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
63,22,15,Brisbane Lions,112,"22,390",13,Sunday,8,12,Sydney,80,No Match Report,May,Not Defined,2001-05-13 00:00:00,No time provided,SCG,2001,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-872874356&p_stn_num=066062,0
64,19,17,Port Adelaide,121,"28,026",13,Sunday,8,7,West Coast,50,No Match Report,May,Not Defined,2001-05-13 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,30.8
65,18,17,Adelaide,120,"29,073",18,Friday,8,14,Richmond,92,No Match Report,May,Not Defined,2001-05-18 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,1.2
66,14,9,Brisbane Lions,68,"21,997",19,Saturday,16,21,Carlton,142,No Match Report,May,Not Defined,2001-05-19 00:00:00,No time provided,Optus Oval,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0.8
67,10,8,West Coast,58,"22,988",19,Saturday,12,21,Hawthorn,138,No Match Report,May,Not Defined,2001-05-19 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
68,11,13,St Kilda,89,"10,958",19,Saturday,24,19,Kangaroos,138,No Match Report,May,Not Defined,2001-05-19 00:00:00,No time provided,Manuka Oval,2001,Canberra,986936890&p_stn_num=070246,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-986936890&p_stn_num=070246,0
69,11,18,Collingwood,119,"34,232",19,Saturday,14,16,Port Adelaide,110,No Match Report,May,Not Defined,2001-05-19 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0.8
70,13,12,Essendon,85,"47,452",20,Sunday,13,11,Melbourne,79,No Match Report,May,Not Defined,2001-05-20 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
71,11,15,Sydney,101,"22,874",20,Sunday,14,18,Western Bulldogs,122,No Match Report,May,Not Defined,2001-05-20 00:00:00,No time provided,SCG,2001,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-872874356&p_stn_num=066062,10.8
72,11,14,Geelong,95,"20,231",20,Sunday,13,10,Fremantle,73,No Match Report,May,Not Defined,2001-05-20 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0.2
